state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,60,-53
California,-297,13
Colorado,-112,20
Connecticut,304,93
Delaware,275,42
Florida,220,-145
Georgia,192,-85
Hawaii,-317,-143
Idaho,-216,122
Illinois,95,37
Indiana,137,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,-11
Louisiana,59,-114
Maine,324,164
Maryland,288,27
Massachusetts,312,104
Michigan,148,101
Minnesota,28,135
Mississippi,98,-90
Missouri,55,6
Montana,-141,150
Nebraska,-35,55
Nevada,-257,56
New Hampshire,307,122
New Jersey,282,57
New Mexico,-128,-55
New York,245,98
North Carolina,239,-22
North Dakota,-40,158
Ohio,176,45
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,67
Rhode Island,318,82
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-37
Texas,-38,-106
Utah,-189,34
Vermont,287,132
Virginia,241,7
Washington,-257,185
West Virginia,208,20
Wisconsin,83,113
Wyoming,-134,90
